ticker,education_name,matched_name,method,score
LSNGP,Кузьмин Игорь Анатольевич,Кузьмин Игорь Анатольевич,exact,100.0
LSNGP,Кутыева Екатерина Валерьевна,Кутыева Екатерина Валерьевна,exact,100.0
LSNGP,Ляпунов Евгений Викторович,Ляпунов Евгений Викторович,exact,100.0
LSNGP,Мельникова Светлана Анатольевна,Мельникова Светлана Анатольевна,exact,100.0
LSNGP,Мольский Алексей Валерьевич,Мольский Алексей Валерьевич,exact,100.0
LSNGP,Пикин Сергей Сергеевич,Пикин Сергей Сергеевич,exact,100.0
LSNGP,Полинов Алексей Александрович,Полинов Алексей Александрович,exact,100.0
LSNGP,Протасов Станислав Дмитриевич,Протасов Станислав Дмитриевич,exact,100.0
LSNGP,Рюмин Андрей Валерьевич,Рюмин Андрей Валерьевич,exact,100.0
LSRG,Волчецкая Галина Александровна,Волчецкая Галина Александровна,exact,100.0
LSRG,Игнатенко Виталий Никитич,Игнатенко Виталий Никитич,exact,100.0
LSRG,Кудимов Юрий Александрович,Кудимов Юрий Александрович,exact,100.0
LSRG,Кутузов Дмитрий Владимирович,Кутузов Дмитрий Владимирович,exact,100.0
LSRG,Левит Игорь Михайлович,Левит Игорь Михайлович,exact,100.0
LSRG,Молчанов Егор Андреевич,Молчанов Егор Андреевич,exact,100.0
LSRG,Осипов Юрий Сергеевич,Осипов Юрий Сергеевич,exact,100.0
LSRG,Шадрина Любовь Викторовна,Шадрина Любовь Викторовна,exact,100.0
LSRG,Яковлев Владимир Анатольевич,Яковлев Владимир Анатольевич,exact,100.0
MAGN,Еремин Андрей Анатольевич,Еремин Андрей Анатольевич,exact,100.0
MAGN,Исмаилов Рашид Рустам оглы,Исмаилов Рашид Рустам оглы,exact,100.0
MAGN,Марцинович Валерий Ярославович,Марцинович Валерий Ярославович,exact,100.0
MAGN,Морган Ральф Таваколян,Морган Ральф Таваколян,exact,100.0
MAGN,Наумова Ольга Валерьевна,Наумова Ольга Валерьевна,exact,100.0
MAGN,Осеевский Михаил Эдуардович,Осеевский Михаил Эдуардович,exact,100.0
MAGN,Рашников Виктор Филиппович,Рашников Виктор Филиппович,exact,100.0
MAGN,Рашникова Ольга Викторовна,Рашникова Ольга Викторовна,exact,100.0
MAGN,Ушаков Сергей Николаевич,Ушаков Сергей Николаевич,exact,100.0
MAGN,Шиляев Павел Владимирович,Шиляев Павел Владимирович,exact,100.0
